City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
375,Ntoum,GA,81.59,light rain,0.3833,9.7833,Hôtel Santa Barbara
382,Nova Olimpia,BR,82.71,overcast clouds,-14.7972,-57.2881,Motel glamour
390,Nampula,MZ,80.55,broken clouds,-15.1165,39.2666,BUTIK Hotel
392,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
393,Poum,NC,79.95,clear sky,-20.2333,164.0167,Gîte kajeon
399,Vanimo,PG,78.51,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
402,Gigmoto,PH,78.73,overcast clouds,13.7796,124.39,Cj's Travellers Inn
417,Auki,SB,78.28,overcast clouds,-8.7676,160.7034,Auki Motel
425,Jeremie,HT,82.67,broken clouds,18.65,-74.1167,Auberge’Inn
426,Bandiagara,ML,83.7,scattered clouds,14.3501,-3.6104,Hotel de la Falaise
431,Male,MV,82.49,broken clouds,4.1748,73.5089,Hotel Octave Maldives
433,Lakatoro,VU,79.9,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
441,Letlhakeng,BW,81.66,overcast clouds,-24.0944,25.0298,fenugreek
450,Singaraja,ID,78.89,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
458,Tonj,SS,80.82,broken clouds,7.2737,28.6822,Lakan Hotel
461,Port Keats,AU,82.56,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
468,Rock Sound,BS,78.93,few clouds,24.9,-76.2,Rock Sound Club
471,Amapa,BR,84.61,broken clouds,1.0,-52.0,
482,Tevaitoa,PF,78.64,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
484,Mogadishu,SO,79.43,overcast clouds,2.0371,45.3438,Hotel Juba
487,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
491,Wanlaweyn,SO,79.61,overcast clouds,2.6185,44.8938,GAASHAAN HOME
492,Labrea,BR,81.37,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
499,Sinnamary,GF,81.7,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
500,Buala,SB,79.75,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
508,Edd,ER,80.06,broken clouds,13.9297,41.6925,
513,Atar,MR,81.61,overcast clouds,20.5169,-13.0499,Oumou Elghoura
519,Morondava,MG,81.01,clear sky,-20.2833,44.2833,La Case Bambou
523,Amahai,ID,78.93,heavy intensity rain,-3.3333,128.9167,HOTEL ISABELA
528,San Felipe,VE,83.32,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
552,Cozumel,MX,80.67,scattered clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
562,Mitu,CO,81.1,overcast clouds,1.1983,-70.1733,
570,Manuk Mangkaw,PH,82.17,overcast clouds,4.8,119.85,
572,George Town,MY,78.75,scattered clouds,5.4112,100.3354,Cititel Penang
574,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
576,Siyabuswa,ZA,78.42,broken clouds,-25.1132,29.0445,Survivor Africa Game Lodge
584,Ilebo,CD,79.56,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
589,Barra Do Corda,BR,84.06,light rain,-5.5,-45.25,Belchior Palace Hotel
592,Vallenar,CL,83.53,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
595,Namatanai,PG,79.52,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
604,Akonolinga,CM,83.66,broken clouds,3.7667,12.25,Le Diamant De Mireille
616,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
622,Grand-Lahou,CI,83.46,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
644,Mangai,CD,79.54,overcast clouds,-4.05,19.5333,
661,Kudat,MY,82.33,few clouds,6.8837,116.8477,Dream Garden Hotel
671,Wajir,KE,80.56,thunderstorm,1.7471,40.0573,Al-bustan Hotel And Restaurant.
684,Luba,GQ,84.09,broken clouds,3.4568,8.5547,
