City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Evensk,RU,2021-12-21 17:11:59,broken clouds,61.95,159.2333,-3.14,63,60,11.23
60,Avarua,CK,2021-12-21 17:11:59,light rain,-21.2078,-159.775,77.05,78,40,10.36
61,Leningradskiy,RU,2021-12-21 17:10:04,broken clouds,69.3833,178.4167,0.46,70,84,30.87
62,Xuddur,SO,2021-12-21 17:12:00,broken clouds,4.1213,43.8894,85.41,38,83,10.94
63,Bagdarin,RU,2021-12-21 17:12:00,scattered clouds,54.4333,113.6,-26.27,93,37,3.02
64,Padang,ID,2021-12-21 17:12:01,overcast clouds,-0.9492,100.3543,78.85,88,99,4.18
65,Lorengau,PG,2021-12-21 17:12:01,light rain,-2.0226,147.2712,81.12,81,100,5.32
66,Geraldton,AU,2021-12-21 17:12:01,overcast clouds,-28.7667,114.6,70.21,68,90,14.97
67,Coquimbo,CL,2021-12-21 17:09:40,clear sky,-29.9533,-71.3436,67.73,63,0,12.66
68,Puerto Ayora,EC,2021-12-21 17:10:11,broken clouds,-0.7393,-90.3518,78.76,82,81,8.25
69,Saskylakh,RU,2021-12-21 17:12:02,overcast clouds,71.9167,114.0833,-20.88,99,90,4.7
70,Goderich,CA,2021-12-21 17:12:02,overcast clouds,43.7501,-81.7165,35.91,70,87,14.72
71,Tiksi,RU,2021-12-21 17:10:16,overcast clouds,71.6872,128.8694,-17.93,97,100,10.07
72,Coihaique,CL,2021-12-21 17:10:02,clear sky,-45.5752,-72.0662,73.35,35,0,3.44
73,Beisfjord,NO,2021-12-21 17:12:03,scattered clouds,68.3751,17.5988,21.25,67,33,8.9
74,Ilulissat,GL,2021-12-21 17:12:03,scattered clouds,69.2167,-51.1,44.62,29,40,23.02
75,Yar-Sale,RU,2021-12-21 17:12:04,overcast clouds,66.8333,70.8333,-5.1,96,100,9.1
76,Juneau,US,2021-12-21 17:07:12,snow,58.3019,-134.4197,32.85,98,90,13.8
77,Iqaluit,CA,2021-12-21 17:08:10,snow,63.7506,-68.5145,-7.87,77,90,33.38
78,Lebu,CL,2021-12-21 17:12:04,clear sky,-37.6167,-73.65,61.93,65,0,20.96
79,Butaritari,KI,2021-12-21 17:08:47,overcast clouds,3.0707,172.7902,81.1,71,94,6.98
80,Pevek,RU,2021-12-21 17:12:05,overcast clouds,69.7008,170.3133,-6.27,79,100,13.27
81,San Carlos De Bariloche,AR,2021-12-21 17:12:05,clear sky,-41.1456,-71.3082,77.14,17,0,3.42
